"","longitude","latitude","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"background",31.5833333333333,-21.25,23.5691566467285,14.6759376525879,61.6415901184082,335.961761474609,33.4389991760254,9.63049983978271,23.8084983825684,26.8490829467773,18.9172496795654,26.8804588317871,18.9172496795654,566,117,4,92.930778503418,339,16,301,16
"background",22.4166666666667,-25.4166666666667,21.769323348999,17.24831199646,56.0638160705566,499.27197265625,34.9109992980957,4.14549970626831,30.7654991149902,26.1526660919189,15.0640420913696,26.9426651000977,15.0640420913696,311,58,2,82.413444519043,167,6,150,6
"background",79.5833333333333,18.4166666666667,27.9276657104492,11.9375410079956,43.5792007446289,397.897857666016,42.0400009155273,14.6472501754761,27.392749786377,27.9853744506836,26.0081253051758,33.3193740844727,23.0254173278809,1004,265,6,116.165084838867,689,21,190,35
"background",15.4166666666667,47.25,7.29151058197021,9.5591459274292,33.997745513916,704.047973632812,22.0072498321533,-6.10974979400635,28.117000579834,15.9265003204346,-1.34320831298828,15.9265003204346,-1.34320831298828,1001,139,41,39.3907585144043,391,141,391,141
"background",21.75,-26.75,20.5904064178467,18.3295631408691,53.0423011779785,607.206848144531,36.0914993286133,1.5349999666214,34.5564994812012,26.3614158630371,12.5664167404175,27.1603317260742,12.5664167404175,272,52,2,80.942756652832,148,7,131,7
"background",13.5833333333333,23.4166666666667,23.8209991455078,14.988374710083,43.8090057373047,728.741394042969,39.7615013122559,5.54850006103516,34.2130012512207,31.636833190918,19.3303337097168,31.636833190918,14.0853338241577,13,3,0,43.2161598205566,6,1,6,1
"background",-4.58333333333334,13.5833333333333,27.3875522613525,14.5247287750244,55.4082870483398,304.003082275391,39.4850006103516,13.2709999084473,26.2140007019043,27.3722915649414,23.3647499084473,31.2023754119873,23.3647499084473,610,196,0,130.607666015625,459,1,121,1
"background",20.5833333333333,52.9166666666667,7.4930624961853,8.13029193878174,28.5060844421387,774.122192382812,23.0380001068115,-5.4832501411438,28.5212497711182,16.9272499084473,-1.01937508583069,16.9272499084473,-2.05837512016296,514,70,23,36.9762649536133,197,75,197,84
"background",43.5833333333333,17.4166666666667,21.0257301330566,12.8280420303345,52.6840553283691,427.458221435547,32.310001373291,7.96099996566772,24.3490009307861,21.6094589233398,20.718334197998,26.0187072753906,15.7564163208008,179,41,2,87.2806549072266,104,10,43,22
"background",51.0833333333333,39.4166666666667,15.0014162063599,5.22154140472412,21.3163299560547,711.096069335938,28.3894996643066,3.89400005340576,24.4954986572266,12.8201665878296,23.6840839385986,24.1859588623047,6.73962497711182,361,60,7,53.7539138793945,158,32,52,100
